"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Travel","0.8740531435585359","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Restaurants","0.7233698773675048","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Public Good","0.5702914208754309","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Grocery & Convenience Stores","0.47331007883587706","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Retail","0.6670616987676808","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","All","0.6747835254199358","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Home Services","0.378959991436908","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Business & Utility Services","0.4179510904954536","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Professional Services","0.43379438450445995","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","All","0.4823733978281276","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Professional Services","0.3200170410528149","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Retail","0.4869348144890015","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Grocery & Convenience Stores","0.42209124532522335","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Lifestyle Services","0.4946606381562636","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Local Events","0.6347676595046161","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Business & Utility Services","0.5385313634946134","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Restaurants","0.5514613847091826","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Home Services","0.5201108933630604","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.313_1","Rio Negro","GADM2","3.6","BR","Public Good","0.4025171479384424","-26.094899962035527","-49.683246503838795","2024-06-05"
"BRA.16.370_1","Sulina","GADM2","3.6","BR","All","0.40213858083507686","-25.693193584353853","-52.71874616520405","2024-06-05"
"BRA.21.11_1","Amaral Ferrador","GADM2","3.6","BR","All","0.5368779462124392","-30.81053737559801","-52.31735788884494","2024-06-05"
"BRA.21.11_1","Amaral Ferrador","GADM2","3.6","BR","Retail","0.445554338337081","-30.81053737559801","-52.31735788884494","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Grocery & Convenience Stores","0.38704575254773843","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Home Services","0.4855072145825386","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Lifestyle Services","0.39096998748876477","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","All","0.5465054704335709","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Restaurants","0.42924257607347654","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Business & Utility Services","0.5875871893637191","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Professional Services","0.5463180313806919","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Retail","0.6111989952195482","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Travel","0.4063270826134385","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Public Good","0.6767302597360685","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.24.290_1","Xanxerê","GADM2","3.6","BR","Local Events","0.1890300348733826","-26.872553993641226","-52.410122476743084","2024-06-05"
"BRA.21.350_1","Santo Antônio da Patrulha","GADM2","3.6","BR","Grocery & Convenience Stores","0.47824843863804933","-29.872957283317795","-50.55922297132032","2024-06-05"
"BRA.21.350_1","Santo Antônio da Patrulha","GADM2","3.6","BR","Local Events","0.2504940574564687","-29.872957283317795","-50.55922297132032","2024-06-05"
"BRA.21.350_1","Santo Antônio da Patrulha","GADM2","3.6","BR","Home Services","0.39558992284030214","-29.872957283317795","-50.55922297132032","2024-06-05"
"BRA.21.350_1","Santo Antônio da Patrulha","GADM2","3.6","BR","Public Good","0.5777315385404876","-29.872957283317795","-50.55922297132032","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Local Events","0.32993801850656607","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.173_1","Gramado","GADM2","3.6","BR","Lifestyle Services","0.6655254886439359","-29.386143757958084","-50.897710340094704","2024-06-05"
"BRA.21.435_1","Tunas","GADM2","3.6","BR","All","0.4719852760080527","-29.114285038251616","-52.892907188369016","2024-06-05"
"BRA.21.31_1","Barra do Guarita","GADM2","3.6","BR","All","0.43796523988798786","-27.206382061755907","-53.76283692784218","2024-06-05"
