"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"BRA.16.67_1","Capanema","GADM2","3.6","BR","Home Services","0.5599012501678616","-25.610612289477025","-53.76069420718559","2024-06-27"
"BRA.16.67_1","Capanema","GADM2","3.6","BR","All","0.402343678512996","-25.610612289477025","-53.76069420718559","2024-06-27"
"BRA.16.67_1","Capanema","GADM2","3.6","BR","Professional Services","0.5104524870915129","-25.610612289477025","-53.76069420718559","2024-06-27"
"BRA.16.141_1","Honório Serpa","GADM2","3.6","BR","All","0.6090389956074441","-26.162837385049183","-52.37252923725167","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Public Good","0.5319963266192029","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Business & Utility Services","0.4054406473616387","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Restaurants","0.5212884982023822","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Home Services","0.6346852923148428","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Grocery & Convenience Stores","0.6312388124112012","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Professional Services","0.49786702548303136","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","All","0.5839520221282023","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Lifestyle Services","0.47141685792668725","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Local Events","0.5172659925758614","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.21.162_1","Frederico Westphalen","GADM2","3.6","BR","Retail","0.6448310905757889","-27.34041167783699","-53.359700554693916","2024-06-27"
"BRA.24.12_1","Angelina","GADM2","3.6","BR","All","0.47064154564864324","-27.542957042268096","-49.06735085713598","2024-06-27"
"BRA.24.12_1","Angelina","GADM2","3.6","BR","Retail","0.49895067264935633","-27.542957042268096","-49.06735085713598","2024-06-27"
"BRA.21.165_1","Gaurama","GADM2","3.6","BR","All","0.5717489259810945","-27.598621923984222","-52.11555943127169","2024-06-27"
"BRA.21.165_1","Gaurama","GADM2","3.6","BR","Retail","0.6402590374184597","-27.598621923984222","-52.11555943127169","2024-06-27"
"BRA.24.254_1","São Martinho","GADM2","3.6","BR","All","0.5807362458714179","-28.12471846153889","-48.973231312253375","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","Public Good","0.6978643996494702","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","Lifestyle Services","0.6073321109591038","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","All","0.6297524192480547","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","Restaurants","0.4098852274558921","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","Business & Utility Services","0.6409918122488588","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","Grocery & Convenience Stores","0.5562442139592053","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","Retail","0.4558161301033249","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","Home Services","0.6732874254382443","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.24.259_1","Schroeder","GADM2","3.6","BR","Professional Services","0.7845321822796701","-26.37355462313156","-49.05188034778975","2024-06-27"
"BRA.21.23_1","Arroio Grande","GADM2","3.6","BR","Retail","0.7076890034945056","-32.18921167057142","-52.91978646170948","2024-06-27"
"BRA.21.23_1","Arroio Grande","GADM2","3.6","BR","Business & Utility Services","0.5172173387592554","-32.18921167057142","-52.91978646170948","2024-06-27"
"BRA.21.23_1","Arroio Grande","GADM2","3.6","BR","Home Services","0.44914802250650837","-32.18921167057142","-52.91978646170948","2024-06-27"
"BRA.21.23_1","Arroio Grande","GADM2","3.6","BR","Lifestyle Services","0.5603623100110522","-32.18921167057142","-52.91978646170948","2024-06-27"
"BRA.21.23_1","Arroio Grande","GADM2","3.6","BR","All","0.6441253777923036","-32.18921167057142","-52.91978646170948","2024-06-27"
"BRA.21.23_1","Arroio Grande","GADM2","3.6","BR","Grocery & Convenience Stores","0.37038024998103464","-32.18921167057142","-52.91978646170948","2024-06-27"
