"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"BRA.24.55_1","Campo Erê","GADM2","3.6","BR","Retail","0.5722821143037862","-26.45042909906519","-53.12999309450987","2024-06-11"
"BRA.24.55_1","Campo Erê","GADM2","3.6","BR","All","0.6568238766743655","-26.45042909906519","-53.12999309450987","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Business & Utility Services","0.4769048145877301","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Professional Services","0.525655360557449","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Public Good","0.8683592762048055","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Home Services","0.5523602486380358","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Retail","0.6346202956223398","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Lifestyle Services","0.7196803099749948","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Grocery & Convenience Stores","0.6080581674307852","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Local Events","0.8101249671364245","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","All","0.6169167765262641","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.348_1","Santiago","GADM2","3.6","BR","Restaurants","0.5417229035451633","-29.082375768797416","-54.747306993656835","2024-06-11"
"BRA.21.37_1","Barros Cassal","GADM2","3.6","BR","Retail","0.515620576376145","-29.113512756459116","-52.588618076044774","2024-06-11"
"BRA.21.37_1","Barros Cassal","GADM2","3.6","BR","All","0.5543289474728795","-29.113512756459116","-52.588618076044774","2024-06-11"
"BRA.21.43_1","Boa Vista do Sul","GADM2","3.6","BR","All","0.35394692181457843","-29.35167610151247","-51.67222781993326","2024-06-11"
"BRA.24.293_1","Zortéa","GADM2","3.6","BR","All","0.40467114970068757","-27.477026199152377","-51.535362973298255","2024-06-11"
"BRA.21.293_1","Picada Café","GADM2","3.6","BR","Retail","0.6928697951052959","-29.46105460773291","-51.10842146349874","2024-06-11"
"BRA.21.293_1","Picada Café","GADM2","3.6","BR","All","0.6784728367300035","-29.46105460773291","-51.10842146349874","2024-06-11"
"BRA.21.293_1","Picada Café","GADM2","3.6","BR","Home Services","0.43158523245504565","-29.46105460773291","-51.10842146349874","2024-06-11"
"BRA.21.299_1","Piratini","GADM2","3.6","BR","Professional Services","0.6012630483435822","-31.439718615961773","-53.10408203081997","2024-06-11"
"BRA.21.299_1","Piratini","GADM2","3.6","BR","Retail","0.600650083139301","-31.439718615961773","-53.10408203081997","2024-06-11"
"BRA.21.299_1","Piratini","GADM2","3.6","BR","Business & Utility Services","0.6037669378814597","-31.439718615961773","-53.10408203081997","2024-06-11"
"BRA.21.299_1","Piratini","GADM2","3.6","BR","Grocery & Convenience Stores","0.4401443200096685","-31.439718615961773","-53.10408203081997","2024-06-11"
"BRA.21.299_1","Piratini","GADM2","3.6","BR","Lifestyle Services","0.32565213045363617","-31.439718615961773","-53.10408203081997","2024-06-11"
"BRA.16.140_1","Guaratuba","GADM2","3.6","BR","Retail","0.5812777411079014","-25.816178267507176","-48.77356038179645","2024-06-11"
"BRA.16.140_1","Guaratuba","GADM2","3.6","BR","Travel","0.7192959048693671","-25.816178267507176","-48.77356038179645","2024-06-11"
"BRA.16.140_1","Guaratuba","GADM2","3.6","BR","Business & Utility Services","0.6906225138971243","-25.816178267507176","-48.77356038179645","2024-06-11"
"BRA.16.140_1","Guaratuba","GADM2","3.6","BR","All","0.6635184812825037","-25.816178267507176","-48.77356038179645","2024-06-11"
"BRA.16.140_1","Guaratuba","GADM2","3.6","BR","Grocery & Convenience Stores","0.3195295982828714","-25.816178267507176","-48.77356038179645","2024-06-11"
"BRA.16.140_1","Guaratuba","GADM2","3.6","BR","Home Services","0.6885358875180401","-25.816178267507176","-48.77356038179645","2024-06-11"
"BRA.24.257_1","São Pedro de Alcântara","GADM2","3.6","BR","Retail","0.3720393613607968","-27.59168021646452","-48.83782716131572","2024-06-11"
"BRA.24.257_1","São Pedro de Alcântara","GADM2","3.6","BR","All","0.4052862915513759","-27.59168021646452","-48.83782716131572","2024-06-11"
"BRA.24.166_1","Monte Carlo","GADM2","3.6","BR","All","0.711784251183471","-27.188630546989938","-50.94082389522905","2024-06-11"
"BRA.24.166_1","Monte Carlo","GADM2","3.6","BR","Retail","0.7028490543698468","-27.188630546989938","-50.94082389522905","2024-06-11"
"BRA.24.108_1","Ibicaré","GADM2","3.6","BR","All","0.5468618175897223","-27.088948987534543","-51.373305334161465","2024-06-11"
"BRA.24.89_1","Floriniapolis","GADM2","3.6","BR","Home Services","0.6239063673879089","-27.594978458964327","-48.58890520221213","2024-06-11"
"BRA.24.89_1","Floriniapolis","GADM2","3.6","BR","Business & Utility Services","0.4909810609942312","-27.594978458964327","-48.58890520221213","2024-06-11"
"BRA.24.89_1","Floriniapolis","GADM2","3.6","BR","Public Good","0.5048969126120365","-27.594978458964327","-48.58890520221213","2024-06-11"
"BRA.24.89_1","Floriniapolis","GADM2","3.6","BR","Restaurants","0.8092407646043631","-27.594978458964327","-48.58890520221213","2024-06-11"
"BRA.21.249_1","Mostardas","GADM2","3.6","BR","All","0.5725093879560494","-30.85508168935054","-50.730074643779204","2024-06-11"
"BRA.21.115_1","Cruz Alta","GADM2","3.6","BR","Retail","0.636509773129122","-28.72144840544341","-53.61573167998069","2024-06-11"
"BRA.21.115_1","Cruz Alta","GADM2","3.6","BR","Business & Utility Services","0.639552598470582","-28.72144840544341","-53.61573167998069","2024-06-11"
"BRA.21.115_1","Cruz Alta","GADM2","3.6","BR","All","0.5938546088298475","-28.72144840544341","-53.61573167998069","2024-06-11"
"BRA.21.115_1","Cruz Alta","GADM2","3.6","BR","Restaurants","0.5786993451541056","-28.72144840544341","-53.61573167998069","2024-06-11"
"BRA.21.115_1","Cruz Alta","GADM2","3.6","BR","Home Services","0.5004910627835168","-28.72144840544341","-53.61573167998069","2024-06-11"
"BRA.21.115_1","Cruz Alta","GADM2","3.6","BR","Local Events","0.3535159224811984","-28.72144840544341","-53.61573167998069","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Retail","0.5521014264167339","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Grocery & Convenience Stores","0.5125734532474703","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Local Events","0.48004501452927617","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","All","0.5652909571557914","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Business & Utility Services","0.5310176539403327","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Home Services","0.4613705877452667","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Public Good","0.7018278986763088","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Professional Services","0.625539247096552","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Restaurants","0.4320554878457231","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.21.428_1","Três de Maio","GADM2","3.6","BR","Lifestyle Services","0.6139600473686232","-27.73202018762305","-54.2652527495215","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Travel","0.4226754177345983","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Retail","0.5746937971423908","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Restaurants","0.8214856857779698","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Professional Services","0.5579859118515047","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","All","0.5858423837564845","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Home Services","0.3733314291095912","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Grocery & Convenience Stores","0.5351227849086828","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Business & Utility Services","0.42070951593355504","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Local Events","0.8869325075830965","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Lifestyle Services","0.4185777100756831","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.24.95_1","Garopaba","GADM2","3.6","BR","Public Good","0.41218564931699325","-28.04668622848276","-48.658836344902916","2024-06-11"
"BRA.16.303_1","Renascença","GADM2","3.6","BR","All","0.6806355575597883","-26.225265821215817","-52.951084996017435","2024-06-11"
"BRA.16.303_1","Renascença","GADM2","3.6","BR","Retail","0.5429737757865116","-26.225265821215817","-52.951084996017435","2024-06-11"
"BRA.16.123_1","Foz do Jordão","GADM2","3.6","BR","All","0.48983995475011544","-25.699402507633227","-52.09109722117719","2024-06-11"
"BRA.24.89_1","Floriniapolis","GADM2","3.6","BR","All","0.592294323316939","-27.594978458964327","-48.58890520221213","2024-06-11"
"BRA.24.145_1","Laurentino","GADM2","3.6","BR","Professional Services","0.6577672347592186","-27.207002140179508","-49.733309421458216","2024-06-11"
"BRA.24.145_1","Laurentino","GADM2","3.6","BR","Home Services","0.4180964525178723","-27.207002140179508","-49.733309421458216","2024-06-11"
"BRA.24.145_1","Laurentino","GADM2","3.6","BR","Business & Utility Services","0.7934060464856441","-27.207002140179508","-49.733309421458216","2024-06-11"
