"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"BRA.21.240_1","Miraguaí","GADM2","3.6","BR","All","0.4978323692556615","-27.490601594887725","-53.745996322140556","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Travel","0.18001759933124642","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Retail","0.6941096210732535","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Business & Utility Services","0.6691365715635935","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Lifestyle Services","0.6951022671837338","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Public Good","0.3683487622966181","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Restaurants","0.43211750785813535","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Local Events","0.5834276025138393","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","All","0.6600765677095579","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Professional Services","0.5400560367417223","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Home Services","0.6310415849044345","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.77_1","Capão do Leão","GADM2","3.6","BR","Grocery & Convenience Stores","0.8232716861760602","-29.679493718361712","-50.0004519139903","2024-06-25"
"BRA.21.105_1","Condor","GADM2","3.6","BR","Business & Utility Services","0.31047774493096153","-28.165680042475923","-53.4940452901957","2024-06-25"
"BRA.21.105_1","Condor","GADM2","3.6","BR","Professional Services","0.5344968993993084","-28.165680042475923","-53.4940452901957","2024-06-25"
"BRA.21.105_1","Condor","GADM2","3.6","BR","Retail","0.3955879272504371","-28.165680042475923","-53.4940452901957","2024-06-25"
"BRA.21.105_1","Condor","GADM2","3.6","BR","All","0.4698619286140465","-28.165680042475923","-53.4940452901957","2024-06-25"
"BRA.21.90_1","Cerrito","GADM2","3.6","BR","Retail","0.4229031247003876","-31.729906147978213","-52.79595157096004","2024-06-25"
"BRA.21.90_1","Cerrito","GADM2","3.6","BR","All","0.7328562355975315","-31.729906147978213","-52.79595157096004","2024-06-25"
"BRA.24.210_1","Presidente Nereu","GADM2","3.6","BR","All","0.8433425589731437","-27.26798444708863","-49.354937863951534","2024-06-25"
"BRA.21.305_1","Porto Alegre","GADM2","3.6","BR","Retail","0.5593162771049915","-31.249580286309197","-51.51030405054193","2024-06-25"
"BRA.21.305_1","Porto Alegre","GADM2","3.6","BR","Home Services","0.5900226988899071","-31.249580286309197","-51.51030405054193","2024-06-25"
"BRA.24.27_1","Balneário Barra do Sul","GADM2","3.6","BR","Public Good","0.6743635738372423","-29.019140878287118","-49.47515594096623","2024-06-25"
"BRA.24.27_1","Balneário Barra do Sul","GADM2","3.6","BR","Professional Services","0.37147525377618734","-29.019140878287118","-49.47515594096623","2024-06-25"
"BRA.24.27_1","Balneário Barra do Sul","GADM2","3.6","BR","Retail","0.49873760141082935","-29.019140878287118","-49.47515594096623","2024-06-25"
"BRA.24.27_1","Balneário Barra do Sul","GADM2","3.6","BR","Business & Utility Services","0.42718641604250857","-29.019140878287118","-49.47515594096623","2024-06-25"
"BRA.24.27_1","Balneário Barra do Sul","GADM2","3.6","BR","Home Services","0.6908306254269505","-29.019140878287118","-49.47515594096623","2024-06-25"
"BRA.24.27_1","Balneário Barra do Sul","GADM2","3.6","BR","Restaurants","0.29405575062505684","-29.019140878287118","-49.47515594096623","2024-06-25"
