"coverage","country","lon","lat"
"1","BR","-51.778564453125","-28.661670773121546"
"1","AR","-58.853759765625","-32.37068238981636"
"1","AR","-58.831787109375","-28.83504952762451"
"1","BR","-49.47143554687499","-25.928406618499444"
"1","UY","-57.359619140625","-32.55607316717808"
"1","BR","-49.361572265625","-26.00742374171192"
"1","AR","-58.985595703125","-28.44937341837796"
"1","BR","-52.064208984375","-29.659415601982396"
"1","AR","-59.117431640625","-34.35250617798356"
"1","BR","-51.844482421875","-27.225325408412584"
"1","BR","-49.141845703125","-28.488004762593324"
"1","AR","-59.249267578125","-29.084976128535068"
"1","BR","-51.317138671875","-30.078600858903066"
"1","BR","-49.77905273437501","-25.75042442374356"
"1","BR","-51.55883789062501","-28.19792611858884"
"1","BR","-51.427001953125","-29.295980109231227"
"1","BR","-48.79028320312501","-27.55698148833148"
"1","BR","-51.053466796875","-29.4108899255273"
"1","BR","-51.448974609375","-27.303451561710343"
"1","BR","-52.789306640625","-29.219301628031207"
"1","BR","-51.97631835937499","-29.54478734434837"
"1","BR","-52.43774414062499","-31.38177831385262"
"1","BR","-52.833251953125","-28.275357842393582"
"1","BR","-51.58081054687499","-29.142565707098775"
"1","BR","-50.811767578125","-30.116621125658487"
"1","BR","-49.91088867187499","-27.303451561710343"
"1","BR","-53.03100585937499","-29.4108899255273"
"1","AR","-58.76586914062501","-27.420537720719807"
"1","BR","-52.679443359375","-26.931864731057168"
"1","AR","-58.85375976562501","-34.42503563903827"
"1","UY","-56.81030273437499","-34.51560904670867"
"1","PY","-56.81030273437499","-27.401031962578156"
"1","AR","-58.480224609375","-31.625320743008697"
"1","AR","-58.677978515625","-27.55698148833148"
"1","BR","-49.603271484375","-27.401031962578156"
"1","BR","-50.174560546875","-26.401710109195797"
"1","UY","-56.04125976562501","-34.76869096413359"
"1","AR","-58.897705078125","-34.316217890357684"
"1","AR","-57.908935546875","-27.926473604009228"
"1","UY","-56.546630859375","-33.33052776546954"
"1","AR","-58.304443359375","-32.46342548073813"
"1","BR","-52.41577148437499","-26.89267867100161"
"1","BR","-48.48266601562501","-27.61540558077938"
"1","BR","-54.129638671875","-28.661670773121546"
"1","BR","-48.570556640625","-25.908644049321087"
"1","BR","-53.62426757812501","-25.98767443751823"
"1","BR","-53.55834960937501","-27.02977030507288"
"1","BR","-51.317138671875","-29.257648054498727"
"1","AR","-58.76586914062501","-27.479034321315"
"1","AR","-58.612060546875","-33.0731304633422"
"1","UY","-55.953369140625","-34.7506393117471"
"1","BR","-49.031982421875","-27.712709827249647"
"1","AR","-57.645263671875","-30.249576782098227"
"1","BR","-51.383056640625","-29.18094084162304"
"1","UY","-56.41479492187499","-34.8228222334709"
"1","BR","-49.40551757812499","-28.873539017774036"
"1","PY","-56.01928710937499","-25.908644049321087"
"1","BR","-48.834228515625","-28.3140526182544"
"1","UY","-53.602294921875","-34.007134576007886"
"1","BR","-50.899658203125","-29.792983681292533"
"1","BR","-49.669189453125","-25.691037608564802"
"1","BR","-50.438232421875","-25.908644049321087"
"1","BR","-52.196044921875","-29.60211775925574"
"1","AR","-58.590087890625","-27.362010119293444"
"1","BR","-53.514404296875","-26.657277251882103"
"1","PY","-55.16235351562501","-26.18501783298668"
"1","BR","-50.548095703125","-29.69759604899548"
"1","AR","-58.326416015625","-34.76869096413359"
"1","BR","-48.83422851562499","-25.512699598189307"
"1","PY","-56.634521484375","-25.9481658741208"
"1","BR","-50.965576171875","-29.065772441150877"
"1","BR","-50.745849609375","-29.449164375979123"
"1","BR","-49.515380859375","-28.44937341837796"
"1","UY","-54.942626953125014","-34.948990231214175"
"1","BR","-49.25170898437501","-26.08638773341275"
"1","BR","-52.591552734375","-27.166694794389883"
"1","AR","-59.00756835937499","-34.15272649077151"
"1","UY","-53.80004882812499","-34.33436399645513"
"1","BR","-54.766845703125","-27.654337673663914"
"1","UY","-54.87670898437499","-34.7506393117471"
"1","BR","-53.470458984375","-30.57172010394321"
"1","UY","-55.03051757812499","-34.8408580908914"
"1","BR","-49.976806640625","-27.24486209279778"
"1","BR","-48.812255859375","-27.283925171113545"
"1","UY","-56.26098632812501","-34.714524168633844"
"1","AR","-53.690185546875","-26.28356451433609"
"1","BR","-50.877685546875","-29.430028953808023"
"1","BR","-53.228759765625","-29.1041762363131"
"1","BR","-49.29565429687499","-25.59199376990822"
"1","BR","-54.32739257812499","-28.04289433550811"
"1","BR","-49.07592773437501","-28.623103111615137"
"1","AR","-59.77661132812499","-35.25459047817946"
"1","BR","-51.163330078125","-29.315140743519365"
"1","AR","-58.50219726562499","-34.33436399645513"
"1","PY","-56.480712890625","-25.691037608564802"
"1","BR","-52.52563476562501","-28.83504952762451"
"1","AR","-54.94262695312499","-27.751607253506155"
"1","BR","-49.18579101562501","-28.333394729185752"
"1","UY","-56.17309570312501","-34.876917951660936"
"1","BR","-51.492919921875","-25.39366011394678"
"1","BR","-50.37231445312499","-28.892778418941003"
"1","BR","-51.80053710937499","-27.186241757536113"
"1","UY","-55.62377929687499","-34.7506393117471"
"1","BR","-49.51538085937499","-28.507315136682276"
"1","BR","-48.63647460937499","-27.84879002480953"
"1","PY","-57.425537109375","-25.433353019319984"
"1","BR","-49.95483398437501","-29.64031994260065"
"1","BR","-49.493408203125","-27.049341193268624"
"1","UY","-53.93188476562499","-32.94414840744084"
"1","BR","-53.756103515625","-29.754839518688364"
"1","BR","-52.61352539062499","-26.81426577350816"
"1","BR","-48.72436523437501","-27.283925171113545"
"1","BR","-48.548583984375","-27.595934342079065"
"1","BR","-52.459716796875","-27.634873358518313"
"1","BR","-52.987060546875","-29.27681587906782"
"1","AR","-59.44702148437499","-28.236649004983594"
"1","AR","-58.348388671875","-26.401710109195797"
"1","AR","-58.634033203125","-34.8228222334709"
"1","BR","-49.27368164062499","-26.83387409079159"
"1","BR","-51.91040039062499","-29.583011238165824"
"1","BR","-49.427490234375","-28.507315136682276"
"1","UY","-56.23901367187501","-34.89494195317162"
"1","BR","-48.922119140625","-26.480406740622364"
"1","AR","-59.842529296875","-26.99061829699693"
"1","BR","-54.48120117187499","-27.907057935466657"
"1","BR","-53.66821289062501","-29.238476636995408"
"1","BR","-52.50366210937499","-29.735761990804548"
"1","BR","-49.779052734375","-26.18501783298668"
"1","UY","-55.60180664062499","-30.892797013431846"
"1","BR","-52.855224609375","-28.58452127683979"
"1","BR","-49.31762695312499","-28.642388714794063"
"1","BR","-48.922119140625","-27.08847272953271"
"1","BR","-50.89965820312501","-26.125849769253726"
"1","BR","-50.921630859375","-30.30650280096496"
"1","BR","-51.31713867187501","-29.60211775925574"
"1","AR","-55.20629882812501","-27.67379852458614"
"1","BR","-52.130126953125","-27.08847272953271"
"1","BR","-51.295166015625","-28.83504952762451"
"1","BR","-53.206787109375","-25.710836507928196"
"1","UY","-56.502685546875","-34.69646067977016"
"1","BR","-48.724365234375","-28.333394729185752"
"1","UY","-55.97534179687501","-34.78673866916752"
"1","PY","-54.87670898437499","-25.59199376990822"
"1","PY","-56.788330078125","-27.362010119293444"
"1","BR","-49.58129882812499","-29.161755067135214"
"1","BR","-52.020263671875","-32.05464421675945"
"1","AR","-55.777587890625","-27.88763878168187"
"1","BR","-49.822998046875","-26.873080541244807"
"1","BR","-53.38256835937499","-33.550550658697375"
"1","BR","-53.58032226562501","-31.73751065447268"
"1","BR","-51.624755859375","-29.583011238165824"
"1","AR","-54.74487304687499","-27.518014810368957"
"1","UY","-56.50268554687499","-33.385585784912365"
"1","BR","-52.701416015625","-26.44106514408952"
"1","BR","-50.89965820312499","-27.049341193268624"
"1","BR","-51.14135742187499","-29.659415601982396"
"1","PY","-56.854248046875","-25.9481658741208"
"1","BR","-54.32739257812501","-28.062285562559854"
"1","BR","-52.19604492187499","-28.488004762593324"
"1","BR","-52.63549804687501","-29.563901099382917"
"1","BR","-49.64721679687501","-27.127590601058422"
"1","AR","-57.755126953125","-30.002516482454844"
"1","BR","-52.042236328125","-30.760718446021013"
"1","PY","-54.613037109375","-25.651429936009226"
"1","BR","-52.855224609375","-29.71668083376483"
"1","BR","-54.305419921875","-28.372068389230648"
"1","BR","-50.372314453125","-27.84879002480953"
"1","BR","-49.42749023437499","-28.758027838439325"
"1","BR","-52.54760742187501","-25.492867862055313"
"1","BR","-52.02026367187499","-27.225325408412584"
"1","UY","-57.579345703125","-33.62376751551928"
"1","AR","-58.61206054687499","-34.85888999726145"
"1","BR","-54.81079101562499","-29.888280478096924"
"1","BR","-49.053955078125","-26.36234164992481"
"1","BR","-52.98706054687499","-27.751607253506155"
"1","BR","-51.427001953125","-29.583011238165824"
"1","AR","-59.029541015625014","-34.51560904670867"
"1","AR","-58.062744140625","-34.85888999726145"
"1","BR","-51.998291015625014","-30.779597933522684"
"1","PY","-54.89868164062501","-25.532528058874057"
"1","AR","-58.01879882812501","-29.81205031316974"
"1","BR","-53.052978515625","-26.931864731057168"
"1","AR","-58.897705078125","-27.518014810368957"
"1","BR","-48.61450195312499","-26.08638773341275"
"1","BR","-52.020263671875","-31.38177831385262"
"1","BR","-51.031494140625","-31.26916042317042"
"1","BR","-51.383056640625","-29.353451218600878"
"1","BR","-53.052978515625","-27.732160275740252"
"1","AR","-57.952880859375","-31.005862439568816"
"1","AR","-59.00756835937499","-31.79355473559707"
"1","PY","-57.293701171875","-25.512699598189307"
"1","BR","-53.909912109375","-28.4300524513511"
"1","UY","-56.54663085937499","-32.85190297738262"
"1","AR","-58.34838867187501","-34.804782425921736"
"1","UY","-54.722900390625","-34.85888999726145"
"1","AR","-58.23852539062501","-35.14686241094981"
"1","BR","-50.987548828125","-29.926373723221307"
"1","AR","-58.941650390624986","-27.537499876557572"
"1","BR","-51.91040039062499","-27.479034321315"
